output_area,lsoa,iomd_rank,iomd_decile
D010545492052,D01054,319,8
D010545492054,D01054,319,8
D010545492070,D01054,319,8
D010545492084,D01054,319,8
D010545492091,D01054,319,8
D010545492096,D01054,319,8
D010545492097,D01054,319,8
D010545492099,D01054,319,8
D010545492105,D01054,319,8
D010545492106,D01054,319,8
D010545492116,D01054,319,8
D010545492119,D01054,319,8
D010545492120,D01054,319,8
D010545492130,D01054,319,8
D010545492132,D01054,319,8
D010545492141,D01054,319,8
D010545492156,D01054,319,8
D010545492157,D01054,319,8
D010545492159,D01054,319,8
D010545492161,D01054,319,8
D010545492162,D01054,319,8
D010545494002,D01054,319,8
D010545494006,D01054,319,8
D010545494010,D01054,319,8
D010545494012,D01054,319,8
D010545494014,D01054,319,8
D010545494019,D01054,319,8
D010545494020,D01054,319,8
D010545494024,D01054,319,8
D010545494037,D01054,319,8
D010545494038,D01054,319,8
D010545494045,D01054,319,8
D010545494059,D01054,319,8
D010545494071,D01054,319,8
D010545494075,D01054,319,8
D010545494080,D01054,319,8
D010545494093,D01054,319,8
D010545494121,D01054,319,8
D010545494128,D01054,319,8
D010545494146,D01054,319,8
D010550001001,D01055,332,8
D010550004004,D01055,332,8
D010550007007,D01055,332,8
D010550010010,D01055,332,8
D010550012012,D01055,332,8
D010550016016,D01055,332,8
D010550018018,D01055,332,8
D010550021021,D01055,332,8
D010550025025,D01055,332,8
D010550028028,D01055,332,8
D010550032032,D01055,332,8
D010550033033,D01055,332,8
D010550035035,D01055,332,8
D010550040040,D01055,332,8
D010550041041,D01055,332,8
D010550042042,D01055,332,8
D010550044044,D01055,332,8
D010550046046,D01055,332,8
D010555543014,D01055,332,8
D010555543015,D01055,332,8
D010555543017,D01055,332,8
D010555543022,D01055,332,8
D010555543031,D01055,332,8
D010555543043,D01055,332,8
D010555546006,D01055,332,8
D010555546011,D01055,332,8
D010555546020,D01055,332,8
D010555546023,D01055,332,8
D010555546027,D01055,332,8
D010555546029,D01055,332,8
D010555546036,D01055,332,8
D010555591002,D01055,332,8
D010555591024,D01055,332,8
D010555591037,D01055,332,8
D010555591038,D01055,332,8
D010555591039,D01055,332,8
D010560002002,D01056,127,4
D010560015015,D01056,127,4
D010560018018,D01056,127,4
D010560025025,D01056,127,4
D010560039039,D01056,127,4
D010560041041,D01056,127,4
D010560043043,D01056,127,4
D010560044044,D01056,127,4
D010560048048,D01056,127,4
D010560049049,D01056,127,4
D010560050050,D01056,127,4
D010565616029,D01056,127,4
D010565616030,D01056,127,4
D010565616031,D01056,127,4
D010565616033,D01056,127,4
D010565616042,D01056,127,4
D010565616045,D01056,127,4
D010565616046,D01056,127,4
D010565628019,D01056,127,4
D010565628020,D01056,127,4
D010565628027,D01056,127,4
D010565636006,D01056,127,4
D010565636010,D01056,127,4
D010565636038,D01056,127,4
D010565636051,D01056,127,4
D010565642001,D01056,127,4
D010565642016,D01056,127,4
D010565642023,D01056,127,4
D010565642024,D01056,127,4
D010565642028,D01056,127,4
D010565642036,D01056,127,4
D010565642037,D01056,127,4
D010565660003,D01056,127,4
D010565660004,D01056,127,4
D010565660008,D01056,127,4
D010565660011,D01056,127,4
D010565660014,D01056,127,4
D010565660017,D01056,127,4
D010565660022,D01056,127,4
D010565660026,D01056,127,4
D010565660034,D01056,127,4
D010565660035,D01056,127,4
D010565687005,D01056,127,4
D010565687009,D01056,127,4
D010565687013,D01056,127,4
D010565687021,D01056,127,4
D010565687032,D01056,127,4
D010565687040,D01056,127,4
D010565687047,D01056,127,4
D010570008008,D01057,282,7
D010570057057,D01057,282,7
D010570062062,D01057,282,7
D010570091091,D01057,282,7
D010575727004,D01057,282,7
D010575727007,D01057,282,7
D010575727013,D01057,282,7
D010575727021,D01057,282,7
D010575727026,D01057,282,7
D010575727027,D01057,282,7
D010575727029,D01057,282,7
D010575727030,D01057,282,7
D010575727034,D01057,282,7
D010575727035,D01057,282,7
D010575727038,D01057,282,7
D010575727048,D01057,282,7
D010575727055,D01057,282,7
D010575727076,D01057,282,7
D010575727082,D01057,282,7
D010575739001,D01057,282,7
D010575739009,D01057,282,7
D010575739015,D01057,282,7
D010575739017,D01057,282,7
D010575739022,D01057,282,7
D010575739032,D01057,282,7
D010575739045,D01057,282,7
D010575739053,D01057,282,7
D010575739065,D01057,282,7
D010575739067,D01057,282,7
D010575739089,D01057,282,7
D010575747002,D01057,282,7
D010575747010,D01057,282,7
D010575747011,D01057,282,7
D010575747023,D01057,282,7
D010575747031,D01057,282,7
D010575747033,D01057,282,7
D010575747037,D01057,282,7
D010575747042,D01057,282,7
D010575747046,D01057,282,7
D010575747047,D01057,282,7
D010575747054,D01057,282,7
D010575747058,D01057,282,7
D010575747059,D01057,282,7
D010575747066,D01057,282,7
D010575747070,D01057,282,7
D010575747084,D01057,282,7
D010575747086,D01057,282,7
D010575755003,D01057,282,7
D010575755006,D01057,282,7
D010575755012,D01057,282,7
D010575755018,D01057,282,7
D010575755020,D01057,282,7
D010575755028,D01057,282,7
D010575755039,D01057,282,7
D010575755040,D01057,282,7
D010575755041,D01057,282,7
D010575755043,D01057,282,7
D010575755049,D01057,282,7
D010575755056,D01057,282,7
D010575755060,D01057,282,7
D010575755063,D01057,282,7
D010575755073,D01057,282,7
D010575755078,D01057,282,7
D010575755079,D01057,282,7
D010575755081,D01057,282,7
D010575755087,D01057,282,7
D010575755088,D01057,282,7
D010575775016,D01057,282,7
D010575775044,D01057,282,7
D010575775050,D01057,282,7
D010575775052,D01057,282,7
D010575775072,D01057,282,7
D010575775077,D01057,282,7
D010575775090,D01057,282,7
D010575782025,D01057,282,7
D010575782051,D01057,282,7
D010575782074,D01057,282,7
D010575785005,D01057,282,7
D010575785024,D01057,282,7
D010575785068,D01057,282,7
D010575785069,D01057,282,7
D010575785071,D01057,282,7
D010575785080,D01057,282,7
D010575785083,D01057,282,7
D010575785085,D01057,282,7
D010580005005,D01058,240,6
D010580034034,D01058,240,6
D010580043043,D01058,240,6
D010580077077,D01058,240,6
D010580092092,D01058,240,6
D010580135135,D01058,240,6
D010580169169,D01058,240,6
D010585803001,D01058,240,6
D010585803028,D01058,240,6
D010585803050,D01058,240,6
D010585803093,D01058,240,6
D010585803104,D01058,240,6
D010585803126,D01058,240,6
D010585803130,D01058,240,6
D010585803171,D01058,240,6
D010585808007,D01058,240,6
D010585808009,D01058,240,6
D010585808044,D01058,240,6
D010585808128,D01058,240,6
D010585822037,D01058,240,6
D010585822116,D01058,240,6
D010585822150,D01058,240,6
D010585822157,D01058,240,6
D010585824051,D01058,240,6
D010585824058,D01058,240,6
D010585824096,D01058,240,6
D010585824110,D01058,240,6
D010585824112,D01058,240,6
D010585824121,D01058,240,6
D010585824142,D01058,240,6
D010585824165,D01058,240,6
D010585830019,D01058,240,6
D010585830053,D01058,240,6
D010585830145,D01058,240,6
D010585830160,D01058,240,6
D010585833003,D01058,240,6
D010585833054,D01058,240,6
D010585833118,D01058,240,6
D010585833136,D01058,240,6
D010585839013,D01058,240,6
D010585839014,D01058,240,6
D010585839025,D01058,240,6
D010585839061,D01058,240,6
D010585839072,D01058,240,6
D010585839100,D01058,240,6
D010585839119,D01058,240,6
D010585839151,D01058,240,6
D010585839156,D01058,240,6
D010585839158,D01058,240,6
D010585839161,D01058,240,6
D010585844015,D01058,240,6
D010585844062,D01058,240,6
D010585844074,D01058,240,6
D010585844085,D01058,240,6
D010585844103,D01058,240,6
D010585844106,D01058,240,6
D010585844113,D01058,240,6
D010585844115,D01058,240,6
D010585844125,D01058,240,6
D010585844131,D01058,240,6
D010585844134,D01058,240,6
D010585844159,D01058,240,6
D010585844164,D01058,240,6
D010585844167,D01058,240,6
D010585847010,D01058,240,6
D010585847029,D01058,240,6
D010585847036,D01058,240,6
D010585847047,D01058,240,6
D010585847055,D01058,240,6
D010585847056,D01058,240,6
D010585847070,D01058,240,6
D010585847078,D01058,240,6
D010585847089,D01058,240,6
D010585847097,D01058,240,6
D010585847129,D01058,240,6
D010585847154,D01058,240,6
D010585853031,D01058,240,6
D010585853048,D01058,240,6
D010585853068,D01058,240,6
D010585853071,D01058,240,6
D010585853075,D01058,240,6
D010585853086,D01058,240,6
D010585853101,D01058,240,6
D010585853148,D01058,240,6
D010585853155,D01058,240,6
D010585853172,D01058,240,6
D010585859018,D01058,240,6
D010585859105,D01058,240,6
D010585859107,D01058,240,6
D010585859138,D01058,240,6
D010585859139,D01058,240,6
D010585859141,D01058,240,6
D010585864011,D01058,240,6
D010585864021,D01058,240,6
D010585864023,D01058,240,6
D010585864027,D01058,240,6
D010585864038,D01058,240,6
D010585864045,D01058,240,6
D010585864046,D01058,240,6
D010585864049,D01058,240,6
D010585864059,D01058,240,6
D010585864065,D01058,240,6
D010585864091,D01058,240,6
D010585864094,D01058,240,6
D010585864117,D01058,240,6
D010585864120,D01058,240,6
D010585864147,D01058,240,6
D010585864163,D01058,240,6
D010585864168,D01058,240,6
D010585888026,D01058,240,6
D010585888073,D01058,240,6
D010585888122,D01058,240,6
D010585888124,D01058,240,6
D010585888132,D01058,240,6
D010585888140,D01058,240,6
D010585888146,D01058,240,6
D010585889016,D01058,240,6
D010585889022,D01058,240,6
D010585889033,D01058,240,6
D010585889063,D01058,240,6
D010585889064,D01058,240,6
D010585889076,D01058,240,6
D010585889098,D01058,240,6
D010585889108,D01058,240,6
D010585889109,D01058,240,6
D010585889133,D01058,240,6
D010585889143,D01058,240,6
D010585889144,D01058,240,6
D010585889153,D01058,240,6
D010585889170,D01058,240,6
D010585890008,D01058,240,6
D010585890024,D01058,240,6
D010585890030,D01058,240,6
D010585890035,D01058,240,6
D010585890039,D01058,240,6
D010585890066,D01058,240,6
D010585890069,D01058,240,6
D010585890080,D01058,240,6
D010585890081,D01058,240,6
D010585890083,D01058,240,6
D010585890088,D01058,240,6
D010585890111,D01058,240,6
D010585890123,D01058,240,6
D010585890127,D01058,240,6
D010585890152,D01058,240,6
D010585890175,D01058,240,6
D010585893004,D01058,240,6
D010585893012,D01058,240,6
D010585893032,D01058,240,6
D010585893040,D01058,240,6
D010585893042,D01058,240,6
D010585893052,D01058,240,6
D010585893057,D01058,240,6
D010585893067,D01058,240,6
D010585893082,D01058,240,6
D010585893084,D01058,240,6
D010585893087,D01058,240,6
D010585893090,D01058,240,6
D010585893099,D01058,240,6
D010585893102,D01058,240,6
D010585893137,D01058,240,6
D010585893162,D01058,240,6
D010585893166,D01058,240,6
D010585893173,D01058,240,6
D010585893174,D01058,240,6
D010590045045,D01059,359,9
D010590075075,D01059,359,9
D010590113113,D01059,359,9
D010590120120,D01059,359,9
D010590183183,D01059,359,9
D010595912107,D01059,359,9
D010595912128,D01059,359,9
D010595912131,D01059,359,9
D010595912132,D01059,359,9
D010595912138,D01059,359,9
D010595912162,D01059,359,9
D010595912169,D01059,359,9
D010595912174,D01059,359,9
D010595915012,D01059,359,9
D010595915018,D01059,359,9
D010595915019,D01059,359,9
D010595915026,D01059,359,9
D010595915032,D01059,359,9
D010595915043,D01059,359,9
D010595915056,D01059,359,9
D010595915078,D01059,359,9
D010595919101,D01059,359,9
D010595919103,D01059,359,9
D010595919116,D01059,359,9
D010595919126,D01059,359,9
D010595919127,D01059,359,9
D010595919141,D01059,359,9
D010595919182,D01059,359,9
D010595920002,D01059,359,9
D010595920034,D01059,359,9
D010595920067,D01059,359,9
D010595920068,D01059,359,9
D010595937106,D01059,359,9
D010595937118,D01059,359,9
D010595937137,D01059,359,9
D010595937145,D01059,359,9
D010595937157,D01059,359,9
D010595937176,D01059,359,9
D010595937178,D01059,359,9
D010595940159,D01059,359,9
D010595940171,D01059,359,9
D010595940184,D01059,359,9
D010595949038,D01059,359,9
D010595949069,D01059,359,9
D010595949071,D01059,359,9
D010595949076,D01059,359,9
D010595949161,D01059,359,9
D010595952105,D01059,359,9
D010595952115,D01059,359,9
D010595952123,D01059,359,9
D010595952124,D01059,359,9
D010595952129,D01059,359,9
D010595952143,D01059,359,9
D010595952144,D01059,359,9
D010595952149,D01059,359,9
D010595952151,D01059,359,9
D010595952158,D01059,359,9
D010595952173,D01059,359,9
D010595952177,D01059,359,9
D010595952179,D01059,359,9
D010595974006,D01059,359,9
D010595974011,D01059,359,9
D010595974014,D01059,359,9
D010595974021,D01059,359,9
D010595974022,D01059,359,9
D010595974047,D01059,359,9
D010595974055,D01059,359,9
D010595974060,D01059,359,9
D010595974063,D01059,359,9
D010595974065,D01059,359,9
D010595974070,D01059,359,9
D010595974072,D01059,359,9
D010595974074,D01059,359,9
D010595974080,D01059,359,9
D010595974083,D01059,359,9
D010595974094,D01059,359,9
D010595974095,D01059,359,9
D010595987008,D01059,359,9
D010595987016,D01059,359,9
D010595987033,D01059,359,9
D010595987037,D01059,359,9
D010595987042,D01059,359,9
D010595987049,D01059,359,9
D010595987062,D01059,359,9
D010595987073,D01059,359,9
D010595987081,D01059,359,9
D010595987082,D01059,359,9
D010595987084,D01059,359,9
D010595987086,D01059,359,9
D010595987090,D01059,359,9
D010595987093,D01059,359,9
D010595987097,D01059,359,9
D010595987098,D01059,359,9
D010595990102,D01059,359,9
D010595990109,D01059,359,9
D010595990112,D01059,359,9
D010595990121,D01059,359,9
D010595990136,D01059,359,9
D010595990142,D01059,359,9
D010595990147,D01059,359,9
D010595990148,D01059,359,9
D010595990152,D01059,359,9
D010595990153,D01059,359,9
D010595990154,D01059,359,9
D010595990155,D01059,359,9
D010595990163,D01059,359,9
D010595990164,D01059,359,9
D010595990165,D01059,359,9
D010595990167,D01059,359,9
D010595990168,D01059,359,9
D010595993010,D01059,359,9
D010595993023,D01059,359,9
D010595993039,D01059,359,9
D010595993041,D01059,359,9
D010595993044,D01059,359,9
D010595993057,D01059,359,9
D010595993077,D01059,359,9
D010595993079,D01059,359,9
D010595993092,D01059,359,9
D010595996001,D01059,359,9
D010595996005,D01059,359,9
D010595996009,D01059,359,9
D010595996020,D01059,359,9
D010595996024,D01059,359,9
D010595996035,D01059,359,9
D010595996050,D01059,359,9
D010595996051,D01059,359,9
D010595996053,D01059,359,9
D010595996058,D01059,359,9
D010595996064,D01059,359,9
D010595996085,D01059,359,9
D010595996087,D01059,359,9
D010595996088,D01059,359,9
D010595996096,D01059,359,9
D010600004004,D01060,196,5
D010600005005,D01060,196,5
D010600019019,D01060,196,5
D010600039039,D01060,196,5
D010600044044,D01060,196,5
D010600063063,D01060,196,5
D010600092092,D01060,196,5
D010605005003,D01060,196,5
D010605005009,D01060,196,5
D010605005013,D01060,196,5
D010605005021,D01060,196,5
D010605005023,D01060,196,5
D010605005027,D01060,196,5
D010605005031,D01060,196,5
D010605005033,D01060,196,5
D010605005035,D01060,196,5
D010605005037,D01060,196,5
D010605005040,D01060,196,5
D010605005056,D01060,196,5
D010605005095,D01060,196,5
D010605005099,D01060,196,5
D010605024012,D01060,196,5
D010605024017,D01060,196,5
D010605024026,D01060,196,5
D010605024072,D01060,196,5
D010605024080,D01060,196,5
D010605024086,D01060,196,5
D010605024087,D01060,196,5
D010605024089,D01060,196,5
D010605034043,D01060,196,5
D010605034046,D01060,196,5
D010605034058,D01060,196,5
D010605034065,D01060,196,5
D010605034076,D01060,196,5
D010605034085,D01060,196,5
D010605043002,D01060,196,5
D010605043034,D01060,196,5
D010605043036,D01060,196,5
D010605043054,D01060,196,5
D010605043064,D01060,196,5
D010605043073,D01060,196,5
D010605048042,D01060,196,5
D010605048045,D01060,196,5
D010605048047,D01060,196,5
D010605048066,D01060,196,5
D010605048077,D01060,196,5
D010605048082,D01060,196,5
D010605048084,D01060,196,5
D010605048094,D01060,196,5
D010605048100,D01060,196,5
D010605053007,D01060,196,5
D010605053008,D01060,196,5
D010605053022,D01060,196,5
D010605053029,D01060,196,5
D010605053041,D01060,196,5
D010605053051,D01060,196,5
D010605053053,D01060,196,5
D010605053057,D01060,196,5
D010605053062,D01060,196,5
D010605053074,D01060,196,5
D010605053088,D01060,196,5
D010605053101,D01060,196,5
D010605063011,D01060,196,5
D010605063016,D01060,196,5
D010605063028,D01060,196,5
D010605063038,D01060,196,5
D010605063052,D01060,196,5
D010605063068,D01060,196,5
D010605086006,D01060,196,5
D010605086010,D01060,196,5
D010605086015,D01060,196,5
D010605086018,D01060,196,5
D010605086020,D01060,196,5
D010605086024,D01060,196,5
D010605086025,D01060,196,5
D010605086030,D01060,196,5
D010605086048,D01060,196,5
D010605086049,D01060,196,5
D010605086050,D01060,196,5
D010605086059,D01060,196,5
D010605086060,D01060,196,5
D010605086061,D01060,196,5
D010605086067,D01060,196,5
D010605086069,D01060,196,5
D010605086070,D01060,196,5
D010605086071,D01060,196,5
D010605086075,D01060,196,5
D010605086079,D01060,196,5
D010605086081,D01060,196,5
D010605086090,D01060,196,5
D010605086091,D01060,196,5
D010605086093,D01060,196,5
D010605086096,D01060,196,5
D010605086097,D01060,196,5
D010605086098,D01060,196,5
D010609014014,D01060,196,5
D010610029029,D01061,324,8
D010610046046,D01061,324,8
D010610113113,D01061,324,8
D010615104005,D01061,324,8
D010615104016,D01061,324,8
D010615104017,D01061,324,8
D010615104053,D01061,324,8
D010615104058,D01061,324,8
D010615104061,D01061,324,8
D010615104068,D01061,324,8
D010615104072,D01061,324,8
D010615104079,D01061,324,8
D010615104109,D01061,324,8
D010615104115,D01061,324,8
D010615134004,D01061,324,8
D010615134012,D01061,324,8
D010615134015,D01061,324,8
D010615134027,D01061,324,8
D010615134037,D01061,324,8
D010615134041,D01061,324,8
D010615134044,D01061,324,8
D010615134050,D01061,324,8
D010615134054,D01061,324,8
D010615134074,D01061,324,8
D010615134101,D01061,324,8
D010615134118,D01061,324,8
D010615138008,D01061,324,8
D010615138010,D01061,324,8
D010615138024,D01061,324,8
D010615138034,D01061,324,8
D010615138035,D01061,324,8
D010615138039,D01061,324,8
D010615138040,D01061,324,8
D010615138045,D01061,324,8
D010615138047,D01061,324,8
D010615138052,D01061,324,8
D010615138059,D01061,324,8
D010615138065,D01061,324,8
D010615138067,D01061,324,8
D010615138070,D01061,324,8
D010615138082,D01061,324,8
D010615138083,D01061,324,8
D010615138084,D01061,324,8
D010615138098,D01061,324,8
D010615138100,D01061,324,8
